TV#,A,B,C,D,E,Batch Size
1,16%,23%,5%,23%,19%,1
2,30%,33%,6%,27%,29%,2
3,30%,33%,7%,30%,34%,3
4,34%,36%,9%,31%,37%,4
5,34%,37%,17%,31%,39%,5
6,34%,37%,18%,37%,39%,6
7,34%,37%,18%,37%,41%,7
8,35%,38%,27%,37%,43%,8
9,35%,38%,30%,42%,46%,9
10,35%,38%,30%,43%,49%,10
11,35%,38%,30%,43%,52%,11
12,35%,38%,30%,44%,53%,12
13,35%,38%,30%,44%,54%,13
14,35%,38%,30%,44%,55%,14
15,35%,38%,30%,48%,58%,15
16,35%,38%,32%,53%,60%,16
17,35%,38%,33%,54%,62%,17
18,35%,38%,34%,54%,62%,18
19,35%,38%,35%,54%,62%,19
20,35%,44%,36%,55%,63%,20
21,35%,44%,36%,55%,64%,21
22,35%,44%,38%,55%,64%,22
23,35%,44%,38%,55%,67%,23
24,35%,44%,38%,55%,70%,24
25,35%,44%,38%,55%,71%,25
